id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
16,38614,1965664,PE,112,2091,214,3,15,1,2,44,142030,102116,13890,22145,38517
19,28990,176909,PE,27,235,49,30,4,0,0,1,15339,11671,8478,16957,25781
20,29189,2032491,PE,45,2105,169,23,8,4,1,19,244228,162386,15377,29864,47615
1,35837,1468492,MX,7,240,25,1,0,0,0,136,110803,64660,2846,26392,29632
5,30603,451471,GT,122,5215,216,11,42,1,0,71,0,0,0,0,5678
37,28613,111700,CO,18,956,69,2,0,0,0,6,36827,24675,966,0,2017
7,35875,1466535,CO,38,545,68,109,4,1,0,51,298404,195727,27677,66533,95026
36,30275,229998,MX,6,128,15,1,0,0,0,3,30341,24667,357,3843,4353
24,25783,25658,CO,0,2,0,0,0,0,0,2,69562,50511,274,0,278
15,29387,900687,PE,45,1158,62,53,5,1,0,15,83940,63734,4721,0,6060
21,29406,2177,CO,1,5,1,0,0,0,0,1,3663,2847,91,0,99
22,26843,16749,CO,0,3,0,0,0,0,0,0,1363,884,17,0,20
8,28631,215056,CO,8,444,52,24,1,0,0,9,113035,87718,5591,15187,21316
18,31083,1466515,PE,72,3131,308,12,25,2,1,47,344038,213129,28468,49392,81458
27,34125,12071,CO,1,14,0,0,0,0,0,3,9095,2373,56,0,74
25,23558,24017,CO,0,9,2,0,0,0,0,3,62808,40247,279,0,293
30,30664,87,CO,0,1,0,0,0,0,0,0,20,13,1,0,2
31,38790,31023,CO,33,217,31,3,9,0,0,167,79137,44262,6412,0,6872
33,36332,191970,MX,0,6,0,0,0,0,0,0,1606,1043,23,0,29
26,23270,11622,CO,0,20,0,0,0,0,0,4,52472,37451,384,0,408
9,23526,17550,CO,4,9,4,0,0,0,0,1,36499,9256,350,0,368
14,29546,14665,PE,2,66,9,0,0,0,1,2,11902,5109,770,1282,2132
23,29333,58385,CO,0,15,1,0,0,0,0,7,78902,58011,380,0,403
38,29492,135018,PE,25,224,14,3,10,0,0,33,45603,28274,2367,0,2676
39,36330,14728,PE,1,29,0,0,0,0,0,6,13891,8033,411,0,447
40,28248,30675,PE,3,102,4,0,0,0,0,3,27004,16378,1079,0,1191
41,28464,107963,PE,69,845,279,47,2,0,2,50,40872,25396,4234,9585,5528
42,28208,18245,PE,6,126,28,0,0,0,0,0,9773,3684,178,0,338
43,29221,59057,PE,9,257,33,12,1,0,0,7,21713,15541,1244,0,1563
44,34460,9571,PE,0,4,0,0,0,0,0,3,9800,2867,34,0,41
45,23409,52302,CO,0,6,0,0,0,0,0,1,1493,1076,7,0,14
13,42577,9782,MX,6,72,6,2,1,0,0,3,44317,19888,242,753,332
32,30986,19009,MX,0,15,5,0,0,0,0,1,1986,1184,12,0,33
34,23526,17550,CO,0,10,1,0,0,0,0,0,13977,3690,25,0,36
46,28856,24105,CO,0,6,1,0,0,0,0,0,832,539,4,0,11
10,42988,3592,MX,0,8,0,0,0,0,0,1,1981,948,174,324,183
6,31990,914714,MX,188,2793,1155,8,121,0,1,0,0,0,0,35650,4266
2,37298,206739,MX,7,21,4,0,0,0,0,12,12365,9608,128,1890,2062
4,24804,15679,CO,2,38,5,0,0,0,0,1,9138,3072,103,0,149
65,23558,24017,CO,0,11,1,0,0,0,0,0,31842,10189,95,403,510
69,33783,386447,CO,167,1769,209,87,22,2,4,19,168143,117748,4382,0,6661
66,27298,3199,CO,0,10,1,0,0,0,0,0,2596,988,60,130,201
89,29109,401413,PE,1,169,19,1,0,0,0,15,43532,28867,387,0,592
54,24251,180842,MX,16,1697,144,28,2,1,0,3,49867,35677,2320,0,4211
55,34825,338326,MX,4,14,0,0,0,0,0,0,1253,865,0,0,18
57,30664,87,CO,0,0,0,0,1,0,0,0,263,66,11,0,12
60,30664,87,CO,3,6,3,0,3,0,0,0,225,163,4,0,19
67,29991,7033,CO,0,14,3,0,0,0,0,0,14661,3948,69,174,260
73,34003,4280,CO,0,20,2,0,0,0,0,0,891,535,16,0,38
47,37790,42224,CO,18,412,78,0,3,0,0,53,38133,15388,909,0,1473
72,34003,4280,CO,3,36,6,0,0,0,0,0,6036,1505,95,0,140
88,30275,229998,MX,9,225,48,1,3,0,0,2,10755,7628,1436,3039,4763
75,34003,4280,CO,0,42,3,0,0,0,0,1,6102,1460,68,0,114
77,34003,4280,CO,3,44,6,0,0,0,0,0,5275,1349,83,0,136
62,30885,32169,CO,35,280,174,5,0,1,0,8,0,0,0,268,503
68,25783,25658,CO,0,92,9,0,0,0,0,0,3750,2693,123,0,224
70,24219,2854,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
74,34003,4280,CO,0,50,6,0,0,0,0,1,3713,2294,102,0,159
48,38289,29605,CO,0,12,0,0,0,0,0,1,2144,1396,37,0,50
71,41363,527447,CO,16,103,12,9,2,0,0,1,24865,17514,1440,0,1583
53,36332,191970,MX,16,163,18,16,2,0,1,1,14196,10324,863,0,1080
90,34950,121893,PE,4,70,9,0,0,1,0,8,6192,3720,68,0,160
76,34003,4280,CO,3,41,7,0,0,0,0,1,5662,1543,117,0,169
61,22761,996055,CO,80,2632,128,4,15,0,0,280,443858,326671,6886,0,10025
78,22424,10808,CO,2,70,3,0,0,0,0,1,16324,5193,117,0,193
79,33183,7650,CO,2,55,5,0,0,0,0,1,11661,3423,77,0,140
80,23270,11622,CO,0,5,0,0,0,0,0,0,571,334,8,0,13
81,28248,30675,PE,10,34,0,0,0,0,0,0,3299,2135,181,0,225
